Topic,Count,Name,Representation,Representative_Docs
9,476,9_mir_mirna_mirnas_expression,"['mir', 'mirna', 'mirnas', 'expression', '21', 'targeting', 'cancer', '5p', 'target', 'novel']","['These findings indicate that miR-206 may act as a tumor suppressor in OSCC and could serve as a novel therapeutic agent for miR-based therapy.', 'These results demonstrate that miR-221 and miR-222 regulate radiosensitivity, and cell growth and invasion of SGC7901 cells, possibly via direct modulation of PTEN expression. Our study suggests that inhibition of miR-221 and miR-222 might form a novel therapeutic strategy for human gastric cancer.', 'Low miR-1 expression is associated with shortened survival time. MiR-1 may act as a potential prognostic biomarker for HCC patients.']"
10,442,10_ckd_coronary_patients_risk,"['ckd', 'coronary', 'patients', 'risk', 'dialysis', 'cardiovascular', 'arterial', 'stiffness', 'cad', 'serum']","['These results indicate that calcification of the aorta is independently associated with aortic stiffness and serum 25(OH)D level in patients with PAD and in healthy subjects. Aortic stiffness and abnormal vitamin D level may contribute to vascular calcification and are related to higher severity grade of atherosclerotic disease.', 'Renal function is one of the most important factors associated with the extent and severity of coronary atherosclerosis, whereas classical coronary risk factors and the degree of metabolic control were not associated with the severity of coronary atherosclerosis in diabetic patients.', 'In participants of health check-up programs, CKD was associated with increased carotid arterial stiffness without intimal disease, independently of conventional risk factors. These findings indicate that CKD may predispose the carotid arteries to earlier development of arteriosclerosis, characterized by increased arterial stiffness.']"
11,414,11_hiv_infected_infection_cd4,"['hiv', 'infected', 'infection', 'cd4', 'viral', 'antiretroviral', 'aids', 'haart', 'art', 'replication']","['In HIV infection, IL-27-induced gene expression was impaired, indicating HIV-mediated dysregulation of IL-27 functions occurs during HIV infection. This study provides evidence for new viral pathogenic mechanisms contributing to the widespread impairment of immune responses observed in HIV pathogenesis.', 'It is likely that the incidence of HIV/AIDS infection is higher than the 4% identified in our study group. The surgical manifestations in these HIV-positive children are dominated by sepsis, often severe in nature and with opportunistic pathogens. Despite increased knowledge about the disease and widening therapeutic opportunities, our results suggest that many children with HIV infection are not being recognized, despite entry into the healthcare system. Prompt recognition and surgical management of the complications of pediatric HIV infection can sometimes result in a good outcome. Further studies are therefore required to define the true incidence of HIV/AIDS infection in children presenting as a surgical emergency case. These patients may benefit from early antiretroviral therapy. Surgeons are well placed to identify children who are HIV positive and should do more to ensure HIV testing and enrollment into antiretroviral treatment programs.', 'Our study shows that clinical outcomes of HIV-infected patients with CAP are not predicted by CD4+ cell counts or HIV-RNA levels after adjusting for confounders. The management of CAP in patients with HIV infection should not be based on CD4+ cell counts or HIV-RNA levels of the HIV infection.']"
12,401,12_schizophrenia_adhd_antidepressant_social,"['schizophrenia', 'adhd', 'antidepressant', 'social', 'disorder', 'effects', 'disorders', 'the', 'that', 'antipsychotic']","[""The schizophrenia-specific reduction in complex I subunits in the prefrontal cortex is consistent with one of schizophrenia's most prominent deficits, namely, hypofrontality, thus further supporting the hypothesis of mitochondrial dysfunction in this disorder. The abnormal, bidirectional expression of complex I in various brain regions, rather than in a circumscribed area, supports the idea of impaired cerebral circuitry in schizophrenia."", 'Intact social cognitive abilities are associated with better functional outcomes in individuals with schizophrenia. Our data highlight the potentially complex effects of oxytocin on some but not all aspects of social cognition, and support the exploration of intranasal oxytocin as a potential adjunct treatment to improve controlled social cognition in schizophrenia.', 'Our results suggest that genetic factors are shared between schizophrenia and immune disorders. This contributes to an accumulating body of evidence that immune processes may play a role in the etiology of schizophrenia.']"
13,361,13_knee_tendon_joint_acl,"['knee', 'tendon', 'joint', 'acl', 'tibial', 'cartilage', 'medial', 'oa', 'patellar', 'lateral']","['This study shows that an MMPH longitudinal tear in an ACL-deficient knee alters the knee kinematics, particularly the anterior-posterior tibial translation. MMPH repair significantly improved anterior-posterior tibial translation in ACL-deficient knees.', 'Knee extensor power was more important than isometric knee strength in understanding medial knee loads during gait.', 'The differences between mild and moderate symptomatic radiographic knee OA are not only structural but also functional, based on the magnitude of load in the medial knee joint. Moreover, knee adduction angular impulse provides additional information beyond that available from the peak knee adduction moment, and may therefore be an important gait parameter to include in OA research. These findings are important for our understanding of the pathophysiologic mechanisms of OA.']"
14,349,14_hcv_hbv_hepatitis_viral,"['hcv', 'hbv', 'hepatitis', 'viral', 'infection', 'ifn', 'hcc', 'svr', 'interferon', 'antiviral']","['HCV 1a or 2a envelope proteins do not modulate NK cell function when expressed as a part of infectious HCV particles. Without direct inhibition by HCV, NK cells may become activated by cytokines in acute HCV infection and contribute to infection outcome and disease pathogenesis.', ""HCV genotype 3 is associated with a significantly increased risk of developing cirrhosis and HCC compared to HCV genotype 1. This association is independent of patients' age, diabetes, body mass index, or antiviral treatment."", 'These results suggest a novel therapeutic approach for the treatment of HCV infection.']"
15,348,15_plant_plants_species_leaf,"['plant', 'plants', 'species', 'leaf', 'the', 'seed', 'genes', 'that', 'of', 'and']","['These results further strengthen the idea that plant resistance to rapamycin evolved as a consequence of mutations in plant FKBP proteins. The production of rapamycin-sensitive plants through the expression of the ScFKBP12 protein illustrates the conservation of the TOR pathway in eukaryotes. Since AtTOR null mutants were found to be embryo lethal 1, transgenic ScFKBP12 plants will provide an useful tool for the post-embryonic study of plant TOR functions. This work also establish for the first time a link between TOR activity and translation in plant cells.', 'The study demonstrated a significant and organ-specific impact of drought upon sulfate assimilation. The sulfur metabolism related alterations at the transcriptional, metabolic and enzyme activity level are consistent with a promotion of root growth to search for water at the expense of leaf growth. The results provide evidence for the importance of antagonistic regulation of sulfur metabolism in leaves and roots to enable successful drought stress response at the whole plant level.', 'Differentially expressed genes identified provide additional insights into the coordination of the complex N responses of plants and the components of the N response mechanism. Putative N regulatory elements were identified to reveal possible new components of the regulatory network for plant N responses. A better understanding of the complex regulatory network for plant N responses will help lead to strategies to improve N use efficiency.']"
16,346,16_implant_dental_caries_implants,"['implant', 'dental', 'caries', 'implants', 'resin', 'teeth', 'bone', 'the', 'surface', 'tooth']","['Implants with straight collars had less bone loss at the 5-year interval than implants with stepped collars. Bone level changes were greater when the implant was placed further subcrestal. The digitally converted radiographic method was significantly more precise for evaluating changes in bone levels. These findings suggest that implant geometry and implant surface roughness may play a significant role in bone level changes in the esthetic zone.', 'Affected individuals receiving tooth replacement therapy with dental implants reported satisfaction with the outcome. A higher level of complications, including infection, mechanical problems, and implant loss, relative to the unaffected population was reported.', 'All implants showed good primary stability at baseline in terms of insertion torque. The results of this study suggest that surface treatment may have significant effects on biological stability 3 weeks after implant placement. Further studies are needed to confirm these initial observations in poor quality bone.']"
17,342,17_lv_myocardial_crt_ventricular,"['lv', 'myocardial', 'crt', 'ventricular', 'patients', 'echocardiography', 'left', 'ecg', 'systolic', 'with']","['Left ventricular pre-ejection interval and IVMD predict favourable LV remodelling on CRT. The additional application of tissue Doppler parameters may further increase specificity and negative predictive value.', 'Direct quantification of the percentage infarct size by strain rate imaging combined with wall motion analysis yields high diagnostic accuracy and better correlation to LE-MRI compared with other echocardiographic indices of global LV function. Echocardiography performed ~1 month after myocardial infarction showed ability to identify the patients with the infarct size >12%.', 'LV longitudinal dysfunction was associated with greater risk of sudden cardiac death/life-threatening ventricular arrhythmias. In combination with echocardiographic right heart variables, also available from routine echocardiography, these measures provide important outcome information and should be considered a useful adjunct to established markers such as QRS duration in the estimation of prognosis in this challenging population.']"
18,315,18_care_research_sample_to,"['care', 'research', 'sample', 'to', 'health', 'meta', 'trials', 'reviews', 'retrospective', 'physician']","['Most of the sample of recent meta-analyses showed that there were signs of imbalance and/or heterogeneity in ages between treatment groups, when there should have been none. Systematic reviewers might consider using the techniques described here to assess the validity of their findings.', 'GPs who participated in diabetes registers were more likely to provide patient care that more closely adhered to evidence-based guidelines than those who did not. Further research is needed to determine whether this was the result of characteristics of the GPs themselves, or their practices, or a was a consequence of their participation.', ""The stronger a physician's relationship with a health plan, the more positive the physician's experience with care management practices and policies was. The concordance between the types of available practices and physicians' ratings suggests that health plans and physicians agree about how to improve the quality of care.""]"
19,315,19_bladder_urinary_incontinence_anal,"['bladder', 'urinary', 'incontinence', 'anal', 'hernia', 'sphincter', 'detrusor', 'continence', 'prolapse', 'with']","[""1. Single nerve fibre action potentials (APs) of lower sacral nerve roots were recorded extracellularly with 2 pairs of wire electrodes during an operation for implanting an anterior root stimulator for bladder control in 9 humans with a spinal cord injury and a dyssynergia of the urinary bladder. Roots that were not saved and that were used to record from were later used for morphometry. 2. Nerve fibre groups were identified by conduction velocity distribution histograms of single afferent and efferent fibres and partly by nerve fibre diameter distribution histograms, and correlation analysis was performed. Group conduction velocity values were obtained additionally from compound action potentials (CAPs) evoked by electrical stimulation of nerve roots and the urinary bladder. 3. The group conduction velocities and group nerve fibre diameters had the following pair-values at 35.5 degrees C: Spindle afferents: SP1 (65 m/s / 13.1 microm), SP2 (51/12.1); touch afferents: T1 (47/11.1), T2 (39/10.1), T3 (27/9.1), T4 (19/8.1); urinary bladder afferents: S1 (41 m/s / -), ST (35/-); alpha-motoneurons: alpha 13 (-/14.4), alpha 12 (65 m/s /13.1 microm), alpha 11 (60?/12.1)[FF], alpha 2 (51/10.3)[FR], alpha 3 (41/8.2)[S]; gamma-motoneurons: gamma(beta) (27/7.1), gamma 1 (21/6.6), gamma 21 (16/5.8), gamma 22 (14/5.1); preganglionic parasympathetic motoneurons: (10 m/s / 3.7 microm). 4. The values of group conduction velocity and group nerve fibre diameter measured in the paraplegics were very similar to those obtained earlier from brain-dead humans and patients with no spinal cord injury. Also, the axon number and the axon density of myelinated fibres of lower sacral nerve roots remain unchanged following spinal cord injury. Thus the classification and identification of nerve fibre groups remained preservedfollowing spinal cord injury. A direct comparison can thus be made of natural impulse patterns of afferent and efferent nerve fibres between paraplegics (pathologic) and brain-dead humans (supraspinal destroyed CNS, in many respects physiologic). 5. When changing the root temperature from 32 degrees C to 35.5 degrees C, the group conduction velocities changed in the following way in one case: SP2: 40 m/s (32 degrees C) to 50 m/s (35.5%), S1: 31.3 to 40, ST: 25 to 33.8, M: 12.5 to 13.8; alpha 2: 40 to 50, alpha 3: 33 to 40. The group conduction velocities showed different temperature dependence apart from SP2 fibres and alpha 2-motoneurons. 6. Upon retrograde bladder filling the urinary bladder stretch (S1) and tension receptor afferent (ST) activity levels were undulating and increased. As compared to activity levels detected in a brain-dead human, S1 (designates afferents, not cord segment) and ST afferents fired even when the bladder was empty, with an activity level similar to those observed in a brain-dead human with the bladder half filled. Two reasons are brought forward for an too small storage volume of the urinary bladder in paraplegics: too high afferent activity of the bladder due to changed receptor field signal transduction mechanisms and too low compliance. 7. With the newly developed 'coordination dynamics therapy', applied early after spinal cord injury, such complications of bladder functioning can be avoided; the bladder can causally be cured in severe spinal cord injury."", 'The glycogen content of a bladder reflects the history of bladder dysfunction, also when measured during a recovery period. This window on the functional history of a bladder may be of clinical value for picking out potential bad-responders to therapy in patients with incomplete data on bladder function during a previous period of bladder obstruction.', 'The urodynamic study revealed a temporal effect on bladder function, and women with diabetic voiding dysfunction were found to have had a longer duration of DM than women with an overactive detrusor. However, aging and recurrent urinary tract infections are the two independent factors that contribute to impaired voiding function and diabetic bladder dysfunction.']"
20,301,20_depression_symptoms_depressive_ad,"['depression', 'symptoms', 'depressive', 'ad', 'cognitive', 'personality', 'dementia', 'anxiety', 'mental', 'suicide']","['Although unrelated to depressive symptoms in the setting of major depression and chronic medical illness, higher religious involvement is associated with positive emotions, a finding which may influence the course of depression over time.', 'Clinical depression occurring soon after stroke is associated with impaired recovery when patients are assessed 14 months later. Depression has a negative effect on recovery in functional status and cognitive performance and may produce deterioration in physical capacity in a number of patients. Physicians would be well advised to be alert for depression and intervene early. Effective treatment of depression may enhance stroke rehabilitation.', 'These findings suggest that neuropsychiatric symptoms in MCI are a predictor of progression to AD. Depression and apathy appear to be most useful for identifying MCI subjects at highest risk of developing dementia.']"
21,298,21_eating_food_weight_intake,"['eating', 'food', 'weight', 'intake', 'dietary', 'obesity', 'children', 'nutrition', 'overweight', 'fat']","['Fast eating rates are associated with obesity and other cardiometabolic risk factors, particularly in men. Thus, eating slowly is recommended for weight reduction and to decrease cardiovascular risk factors.', ""Fruit/vegetable intake and eating behaviors mediated the intervention's effect on weight change. The findings suggest that sending text-messages that promote healthy eating strategies resulted in moderate short-term weight loss."", ""Psychological dimensions of eating behaviour are associated with patterns of food intake, in particular for consumption of sweets, and are most prominent in the parents. The children's food intake mirrored their parents' intake. Being sensitive to external food cues may increase unhealthy food consumption in our society, whereas more restrained eating may indicate proneness or intention to healthier food choices among parents. Emotional eating may imply a proneness to consume sweets for comfort, in particular among mothers.""]"
22,295,22_notch_cell_actin_that,"['notch', 'cell', 'actin', 'that', 'signaling', 'we', 'our', 'the', 'drosophila', 'of']","['Our results demonstrate that Jagged1-mediated Notch signaling regulates multiple cell fate decisions as well as differentiation in the respiratory system to coordinate lung development and to maintain a balance of airway cell types in adult life.', 'Our modeling results suggest that tip cell overtaking can occur spontaneously due to the stochastic motion of cells during sprouting. Thus, tip cell overtaking and sprouting dynamics may be interdependent and should be studied and interpreted in combination. VEGF-Dll4-Notch can regulate the ability of cells to occupy the tip cell position in our simulations. We propose that the function of VEGF-Dll4-Notch signaling might not be to regulate which cell ends up at the tip, but to assure that the cell that randomly ends up at the tip position acquires the tip cell phenotype.', 'From these experiments we can make several novel conclusions about the role of Notch ligands in T cell biology. The first is that delta-like 4 suppresses effector cell proliferation and enhances Th2 memory cell proliferation. The second is that blocking one Notch ligand in vivo effectively increases the concentration of other Notch ligands, which can then alter the response.']"
23,288,23_renal_kidney_tubular_injury,"['renal', 'kidney', 'tubular', 'injury', 'mesangial', 'fibrosis', 'tgf', 'glomerular', 'inflammatory', 'induced']","['The results of this study have demonstrated that SM significantly prevents renal I/R injury-induced renal tubular changes in the rat. SM in 50 mg/kg was observed to be sufficient to significantly prevent renal tubular necrosis. Further, to our literature knowledge, this is the first specific study to demonstrate the preventive effect of SM on renal I/R injury.', 'These findings suggest that PMX-DHP may protect against acute kidney injury not only by inhibiting the NF-κB signaling pathway but also by preventing renal tubular cell apoptosis.', 'In contrast to lung injury and antibody-dependent glomerular injury, MMP-12 is not required for renal interstitial macrophage accumulation, interstitial fibrosis or tubular damage in the obstructed kidney.']"
24,285,24_probnp_nt_bnp_heart,"['probnp', 'nt', 'bnp', 'heart', 'failure', 'ctni', 'myocardial', 'patients', 'cardiac', 'ventricular']","['Serum NT-proBNP is frequently increased in severe sepsis patients, and non-survivors have higher levels than survivors. High levels of admission NT-proBNP are associated with mortality.', 'NT-proBNP has traditionally been described as a marker of heart failure and left ventricular dysfunction. In this study of long-term surviving type 1 diabetic patients, we found NT-proBNP associated with nephropathy, neuropathy and macrovascular disease. If confirmed by prospective studies, NT-proBNP might be a useful prognostic marker of diabetes-related complications.', 'The magnitude of plasma NT-proBNP decrease in patients with acute heart failure is helpful in discrimination of patients at high risk of death. Plasma NT-proBNP level monitoring is important for risk stratification in this group of patients.']"
25,281,25_cartilage_chondrocytes_oa_articular,"['cartilage', 'chondrocytes', 'oa', 'articular', 'bone', 'chondrocyte', 'differentiation', 'mmp', 'collagen', 'matrix']","['Our observations collectively suggest that upregulation of LCN2 in OA cartilage is not sufficient or necessary for OA cartilage destruction in mice.', 'Our findings demonstrate the role of zonal chondrocyte interactions in regulating cell mineralization and provide a plausible mechanism for the post-natal regulation of articular cartilage matrix organization. These findings also have significant implications in understanding the pathology of articular cartilage as well as devising strategies for functional cartilage repair.', 'The positive correlations of chondrocyte apoptosis with early stages of OA and severity of cartilage damage in the joints, suggest that this process is intrinsically linked to cartilage damage and may be associated with the initiation of cartilage degradation in OA.']"
26,266,26_statins_atorvastatin_simvastatin_statin,"['statins', 'atorvastatin', 'simvastatin', 'statin', 'endothelial', 'effects', 'diabetic', 'arginine', 'ldl', 'induced']","['Statins regulate TM expression via inhibition of small G proteins of the Rho family; Rac/Cdc42. A statin-mediated increase in TM expression by endothelial cells may contribute to the beneficial effects of statins on endothelial function.', 'Our data show that statins exert concentration- and cell type-dependent effects on angiogenic activity of endothelial cells and on VEGF synthesis. The data are of relevance for elucidating the differential activity of statins on angiogenesis in cardiovascular diseases and cancer.', 'The present results suggest that protein prenylation inhibition by statins may be involved in statin-induced VSMC apoptosis. These data provide a new potential mechanism by which statins may modulate the evolution of atherosclerotic lesions.']"
27,264,27_mrsa_strains_coli_virulence,"['mrsa', 'strains', 'coli', 'virulence', 'isolates', 'resistant', 'resistance', 'antibiotic', 'infection', 'antibiotics']","['A history of a MRSA-positive culture and a positive nasal PCR screen are poor surrogate markers of preoperative colonization status, missing at least 70% of MRSA-colonized patients. Prior-year history is also not independently associated with MRSA-related postoperative infections. Strong consideration should be given to preoperative MRSA screening in patients at high risk for surgical complications.', 'ESBL-producing E. coli isolates are also a major threat in the clinical setting. The findings of this study indicated the high occurrence of ESBLs and multiple antibiotic resistance in E. coli isolates.', 'Patients were a major reservoir for MRSA. Infection control efforts should focus on preventing transmission of MRSA from patients who are MRSA carriers to other patients on the unit.']"
28,260,28_insulin_fat_fatty_adipose,"['insulin', 'fat', 'fatty', 'adipose', 'glucose', 'oil', 'obesity', 'diet', 'cholesterol', 'dietary']","['Our results demonstrate that chronic CO treatment prevents the development of high-fat diet induced obesity via stimulation of metabolism and remodeling of adipocytes.', 'IGF-1 release by adipocytes is regulated by glucose and fatty acids and may contribute to the control of cancer cell growth in obese individuals.', 'These results suggest that the down-regulation of the jejunal level of anorectic NAEs by dietary fat is not restricted to rats, and that the fatty acid component oleic acid, in dietary olive oil may be sufficient to mediate this regulation. Thus, a fatty acid sensor may mediate this effect of dietary fat.']"
29,246,29_liver_regeneration_hepatic_hepatocyte,"['liver', 'regeneration', 'hepatic', 'hepatocyte', 'hepatocytes', 'fibrosis', 'transplantation', 'cell', 'injury', 'hepatectomy']","['This study provides in vivo evidence that increased apoptosis of hepatocytes not only impairs liver homeostasis but is also accompanied by hepatocyte proliferation and hepatocarcinogenesis. Our findings might have implications for understanding apoptosis-related human liver diseases.', 'Pretreatment of fibrotic liver with IL-6 improves hepatic microenvironment and primes it for MSC transplantation leading to enhanced reduction of liver injury after fibrosis. Synergistic effect of IL-6 and MSCs seems a favored therapeutic option in attenuation of liver apoptosis and fibrosis accompanied by improved liver function.', 'Endogenous and exogenous growth factors and direct neovascularization after endothelial progenitor cell transplantation promoted liver regeneration, thus improving survival after liver injury. Transplantation of endothelial progenitor cells could represent a new therapeutic strategy for promoting liver regeneration.']"
30,246,30_ad_aβ_apoe_alzheimer,"['ad', 'aβ', 'apoe', 'alzheimer', 'tau', 'amyloid', 'cognitive', 'dementia', 'disease', 'brain']","['The APOE epsilon4 allele is a weaker predictor for dementia in the general population than for AD. This may be because dementia can be caused by non-AD pathological processes and because most prevalent dementia occurs at an age when the APOE epsilon4 effect on AD risk (and therefore dementia) has started to decline.', 'Taken together, the findings in this study provide experimental evidence that DNA damage markers are significantly increased in AD and non-AD dementia. The biomarkers identified outperformed the standard CSF markers for diagnosing AD and non-AD dementia in the cohort investigated.', ""Background β-Amyloid (Aβ) is a key pathologic element in Alzheimer's disease (AD), but the mechanisms by which it disrupts neuronal function in vivo are not completely understood. AD is characterized by a prothrombotic state, which could contribute to neuronal dysfunction by affecting cerebral blood flow and inducing inflammation. The plasma protein factor XII triggers clot formation via the intrinsic coagulation cascade, and has been implicated in thrombosis. Objectives To investigate the potential for Aβ to contribute to a prothrombotic state. Methods and results We show that Aβ activates FXII, resulting in FXI activation and thrombin generation in human plasma, thereby establishing Aβ as a possible driver of prothrombotic states. We provide evidence for this process in AD by demonstrating decreased levels of FXI and its inhibitor C1 esterase inhibitor in AD patient plasma, suggesting chronic activation, inhibition and clearance of FXI in AD. Activation of the intrinsic coagulation pathway in AD is further supported by elevated fibrin levels in AD patient plasma. Conclusions The ability of Aβ to promote coagulation via the FXII-driven contact system identifies new mechanisms by which it could contribute to neuronal dysfunction and suggests potential new therapeutic targets in AD.""]"
